svg,id,title,link,not_modal
cinms_pelagic.svg,baleen-whales,Baleen whales,modals/warthog.html,
cinms_pelagic.svg,forage-assemblage,Forage Assemblage,modals/warthog.html,
cinms_pelagic.svg,forage-fish,Forage Fish,modals/warthog.html,
cinms_pelagic.svg,forage-inverts,Forage Invertebrates,modals/warthog.html,
cinms_pelagic.svg,key-climate-ocean,Key climate & ocean drivers,modals/warthog.html,
cinms_pelagic.svg,key-human-activities,Key human activities and impacts of pelagic,modals/warthog.html,
cinms_pelagic.svg,midwater-assemblage,Midwater assemblage,modals/warthog.html,
cinms_pelagic.svg,nesting-birds,Nesting  birds,modals/warthog.html,
cinms_pelagic.svg,pinnipeds,Pinnipeds,modals/warthog.html,
cinms_pelagic.svg,plankton,Plankton,modals/warthog.html,
cinms_pelagic.svg,seabirds,Seabirds at sea,modals/warthog.html,
infografico.svg,warthog,Warthog,modals/warthog.html,
infografico.svg,sota,SOTA,modals/sota.html,
infografico.svg,planning,Planning,modals/planning.html,
infografico.svg,simulation,Simulation,modals/simulation.html,
infografico.svg,tests,Tests,modals/warthog.html,
infografico.svg,documents,Documents,modals/warthog.html,
